Month,Export Loaded TEUs,Import Loaded TEUs,Export Empty TEUs,Import Empty TEUs,Total TEUs,Total Loaded TEUs,Total Empty TEUs,Port,Total Rail Lifts,Container Tons,Auto Tons,Ro/Ro Tons (excl. autos),Forest Products (Break Bulk),Steel & other metals Break Bulk Tons,other Break Bulk Tons,Total General Cargo Tons,Total Containers,Import Auto Units,Export Auto Units,Total Auto UNITS,Import Ro/Ro Tons,Export Ro/Ro Tons,Month,Origin BEA Area,Total Weight in Tons,year
Jan 2009,54809,55634,21532,6019,137994,110443,27551,Virginia,,,,,,,,,,,,,,,1.0,"Charleston-North Charleston, SC",2482.0,2019.0
Jan 2010,64664,51330,10705,17398,144097,115994,28103,Virginia,,,,,,,,,,,,,,,1.0,Everglades (Part of Fort Lauderdale/Miami),120.0,2019.0
Jan 2011,71433,64939,11648,11245,159265,136372,22893,Virginia,,,,,,,,,,,,,,,1.0,"Los Angeles, CA",142194.0,2019.0
Jan 2012,69867,62271,13559,8603,154300,132138,22162,Virginia,,,,,,,,,,,,,,,1.0,"Los Angeles-Riverside-Orange County, CA-AZ",129701.0,2019.0
Jan 2013,72685,62405,12172,11504,158766,135090,23676,Virginia,,,,,,,,,,,,,,,1.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",80099.0,2019.0
Jan 2014,78065,69836,12732,6639,167272,147901,19371,Virginia,,,,,,,,,,,,,,,1.0,"Norfolk-Virginia Beach-Newport News, VA-NC",5157.0,2019.0
Jan 2015,83349,79733,23108,5806,191996,163082,28914,Virginia,,,,,,,,,,,,,,,1.0,"Portland-Salem, OR-WA",15233.0,2019.0
Jan 2016,76360,84186,26786,5513,192844,160546,32299,Virginia,,,,,,,,,,,,,,,1.0,San Antonio (Part of Long Beach/LA),435296.0,2019.0
Jan 2017,89767,101302,31466,5983,228516,191069,37449,Virginia,,,,,,,,,,,,,,,1.0,"San Francisco-Oakland-San Jose, CA",13739.0,2019.0
Jan 2018,76294,104150,37883,2208,220534,180444,40091,Virginia,,,,,,,,,,,,,,,1.0,"Savannah, GA-SC",6726.0,2019.0
Jan 2019,77948,109757,50538,1868,240111,187705,52406,Virginia,,,,,,,,,,,,,,,1.0,"Washington-Baltimore, DC-MD-VA-WV-PA",21352.0,2019.0
Jan 2020,79328,108884,36656,2366,227234,188212,39022,Virginia,,,,,,,,,,,,,,,2.0,"Charleston-North Charleston, SC",2362.0,2019.0
Jan 2021,84688,130777,54730,774,270969,215465,55504,Virginia,,,,,,,,,,,,,,,2.0,Everglades (Part of Fort Lauderdale/Miami),20.0,2019.0
Jan 2022,69589,127597,61715,3119,262020,197186,64834,Virginia,,,,,,,,,,,,,,,2.0,"Los Angeles, CA",121854.0,2019.0
Feb 2009,58763,55223,11786,7587,133359,113986,19373,Virginia,,,,,,,,,,,,,,,2.0,"Los Angeles-Riverside-Orange County, CA-AZ",128427.0,2019.0
Feb 2010,72858,60737,9442,12012,155049,133595,21454,Virginia,,,,,,,,,,,,,,,2.0,"New York-No. New Jer.-Long Island, NY-NJ-CT-PA-MA-VT",51070.0,2019.0
